Scenario,Analysis
"Lufthansa LH441 from Frankfurt to New York delayed 4 hours due to technical malfunction on March 15, 2024. Passenger seeks compensation.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline technical issue<br>CONFIDENCE: 95%<br>AIRLINE_PROFILE: Lufthansa uses detailed legal review, systematic stalling reported in 2025, expect 8-14 weeks processing<br>BUSINESS_RISK: Medium - prepare for documentation requests"
"Ryanair FR8542 Dublin to Barcelona delayed 6 hours due to severe thunderstorm with airport closure on July 10, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Extraordinary circumstances - severe weather beyond airline control<br>CONFIDENCE: 98%<br>AIRLINE_PROFILE: Ryanair has 29% passenger ADR success rate, aggressive legal tactics, but claim invalid regardless<br>BUSINESS_RISK: N/A - no valid claim"
"British Airways BA178 London to Paris delayed 2.5 hours due to crew shortage on June 5, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Delay under 3 hours, no compensation required<br>CONFIDENCE: 92%<br>AIRLINE_PROFILE: British Airways has best settlement rate (84% voluntary), uses CEDR arbitration<br>BUSINESS_RISK: N/A - no valid claim"
"Air France AF83 Paris to Tokyo delayed 5 hours due to technical problem on August 12, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline fault<br>CONFIDENCE: 96%<br>AIRLINE_PROFILE: Air France initial rejection common, often cites extraordinary circumstances, expect 10-16 weeks<br>BUSINESS_RISK: Medium - likely initial rejection, escalation needed"
"United Airlines UA900 Los Angeles to Chicago, passenger involuntarily denied boarding, next available flight 4 hours later. Original ticket cost $350.","ELIGIBLE: Yes<br>REGULATION: DOT<br>AMOUNT: $700<br>REASON: Involuntary denied boarding with >2 hour delay, 200% of ticket price<br>CONFIDENCE: 94%<br>AIRLINE_PROFILE: United Airlines strict policy adherence, improving after PR incidents, expect 3-8 weeks<br>BUSINESS_RISK: Medium - may challenge crew shortage as extraordinary"
"Delta flight DL123 Atlanta to Miami cancelled due to hurricane warning, passenger rebooked next day.","ELIGIBLE: No<br>REGULATION: DOT<br>AMOUNT: $0<br>REASON: Weather cancellation, only refund required<br>CONFIDENCE: 89%<br>AIRLINE_PROFILE: Delta provides best US voluntary compensation but weather exceptions apply<br>BUSINESS_RISK: N/A - extraordinary circumstances"
"Air Canada AC88 Toronto to Vancouver delayed 4 hours due to crew scheduling issue on May 20, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: Domestic flight delayed >3 hours due to airline control<br>CONFIDENCE: 91%<br>AIRLINE_PROFILE: Air Canada APPR compliance improving, still challenges extraordinary circumstances, expect 8-14 weeks<br>BUSINESS_RISK: Medium - may dispute crew scheduling as extraordinary"
"KLM KL456 Amsterdam to Berlin delayed 5 hours due to air traffic control strike on May 15, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Extraordinary circumstances - ATC strike beyond airline control<br>CONFIDENCE: 89%<br>AIRLINE_PROFILE: KLM had highest cancellations (2760) in 2025, settlement behavior needs research<br>BUSINESS_RISK: N/A - valid extraordinary circumstances defense"
"EasyJet EZY123 London to Rome delayed 3.5 hours due to mechanical problem on April 20, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €400<br>REASON: Medium-haul flight delayed >3 hours due to airline fault<br>CONFIDENCE: 94%<br>AIRLINE_PROFILE: easyJet has 39% passenger ADR success rate, challenges most claims initially, expect 8-14 weeks<br>BUSINESS_RISK: High - likely initial rejection, prepare for ADR process"
"American Airlines AA789 Dallas to Phoenix seeking volunteers for denied boarding, passenger accepted $400 voucher.","ELIGIBLE: No<br>REGULATION: DOT<br>AMOUNT: $0<br>REASON: Voluntary denied boarding with compensation already provided<br>CONFIDENCE: 91%<br>AIRLINE_PROFILE: American Airlines policy-driven approach, limited voluntary compensation<br>BUSINESS_RISK: N/A - voluntary acceptance negates additional claims"
"WestJet WS101 Calgary to London delayed 6 hours due to maintenance issue on August 10, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: International flight delayed 6-9 hours due to airline control<br>CONFIDENCE: 93%<br>AIRLINE_PROFILE: WestJet more customer-friendly than Air Canada, generally good APPR compliance<br>BUSINESS_RISK: Low - expect reasonable handling, 6-10 weeks processing"
"Iberia IB6254 Madrid to Mexico City delayed 4 hours due to crew duty time restrictions on September 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline operational issue<br>CONFIDENCE: 88%<br>AIRLINE_PROFILE: Iberia behavior needs research - no settlement data available<br>BUSINESS_RISK: Unknown - requires individual assessment"
"Turkish Airlines TK1 Istanbul to New York delayed 7 hours due to technical problem on October 5, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Non-EU airline departing non-EU airport, EU261 does not apply<br>CONFIDENCE: 85%<br>AIRLINE_PROFILE: Turkish Airlines professional when applicable, second-highest delay percentage<br>BUSINESS_RISK: N/A - no EU261 jurisdiction"
"Air Canada AC200 Montreal to Toronto delayed 3.5 hours due to security incident at airport on July 5, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Security incident outside airline control<br>CONFIDENCE: 87%<br>AIRLINE_PROFILE: Air Canada APPR compliance improving, still challenges extraordinary circumstances<br>BUSINESS_RISK: N/A - valid extraordinary circumstances"
"Lufthansa LH890 Munich to London delayed 4 hours due to ground handling company strike on September 12, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Third-party strike constitutes extraordinary circumstances<br>CONFIDENCE: 82%<br>AIRLINE_PROFILE: Lufthansa uses detailed legal review, systematic stalling reported in 2025<br>BUSINESS_RISK: N/A - valid extraordinary circumstances defense"
"Southwest Airlines WN1234 Chicago to Denver delayed 5 hours due to aircraft maintenance on June 15, 2024.","ELIGIBLE: No<br>REGULATION: DOT<br>AMOUNT: $0<br>REASON: DOT does not require compensation for delays, only refunds<br>CONFIDENCE: 90%<br>AIRLINE_PROFILE: Southwest customer-friendly culture, good reputation for recovery, expect goodwill gesture<br>BUSINESS_RISK: N/A - no legal requirement, possible voluntary compensation"
