question,answer
"Under EU261, when is a passenger entitled to compensation for a flight delay?","A passenger is entitled to compensation under EU261 if their flight arrives at the final destination more than 3 hours late, unless the delay was caused by extraordinary circumstances outside the airline's control."
"What is the maximum compensation amount under EU261?","The maximum compensation amount under EU261 is €600, typically for long-haul flights over 3,500 km delayed more than 4 hours."
"What are extraordinary circumstances under EU261?","Extraordinary circumstances include severe weather, political instability, security risks, air traffic control strikes, and medical emergencies that are beyond the airline's control."
"How is compensation calculated for short-haul flights under EU261?","For flights up to 1,500 km, compensation is €250 if delayed more than 3 hours at the final destination."
"What compensation applies to medium-haul flights under EU261?","For flights between 1,500-3,500 km within the EU, or other flights of 1,500-3,500 km, compensation is €400 for delays over 3 hours."
"When do long-haul flights qualify for EU261 compensation?","Long-haul flights over 3,500 km qualify for €600 compensation when delayed more than 4 hours at final destination."
"Does EU261 apply to flights departing from outside the EU?","EU261 applies to flights departing from EU airports regardless of airline, and flights arriving in EU with EU-based airlines."
"Can passengers claim compensation for cancelled flights under EU261?","Yes, passengers can claim the same compensation amounts for cancelled flights unless given 14+ days notice or offered suitable alternative transport."
"What additional care must airlines provide during long delays?","Airlines must provide meals, refreshments, hotel accommodation if overnight stay required, and transport between airport and accommodation."
"How long do passengers have to claim EU261 compensation?","The time limit varies by country but is typically 2-6 years, with most EU countries allowing 2-3 years from the incident date."
"Does a 2.5-hour delay qualify for EU261 compensation?","No, EU261 compensation requires arrival delays of more than 3 hours at the final destination."
"What if a flight is delayed due to a technical problem under EU261?","Technical problems are generally the airline's responsibility and do not qualify as extraordinary circumstances, making compensation payable."
"Can airlines deny EU261 compensation by claiming safety reasons?","Airlines cannot use vague safety claims to avoid compensation. The reason must be specific, extraordinary, and beyond their control."
"What happens if EU261 delay is due to airline staff strikes?","Strikes by the airline's own staff are not extraordinary circumstances, so compensation is payable. Third-party strikes may be extraordinary."
"Does bad weather always exempt airlines from paying EU261 compensation?","Only severe weather that makes flying unsafe exempts airlines. Normal bad weather that airlines should handle does not qualify."
"What if passengers miss connecting flights due to EU261 delays?","If both flights are on the same booking, the total delay to final destination determines compensation, not individual flight delays."
"Can airlines reduce EU261 compensation by offering vouchers?","No, airlines cannot force passengers to accept vouchers. Passengers have the right to monetary compensation."
"What if delayed EU261 flight eventually gets cancelled?","Cancellation compensation applies, which uses the same rates as delay compensation (€250/€400/€600)."
"Does EU261 apply to charter flights?","Yes, EU261 applies to charter flights departing from or arriving in the EU with EU airlines."
"What if passengers are downgraded under EU261?","Passengers can claim refund of 30% (short), 50% (medium), or 75% (long-haul) of the ticket price for involuntary downgrading."
"Can passengers claim EU261 compensation for bird strike delays?","Bird strikes are generally considered extraordinary circumstances, exempting airlines from compensation unless negligence is involved."
"What if EU261 flight is diverted to different airport?","If the diversion causes a delay of 3+ hours to the original destination, compensation may be payable unless due to extraordinary circumstances."
"Does EU261 cover flights with multiple stops?","Yes, the total journey time to the final ticketed destination determines compensation eligibility."
"What happens if passengers voluntarily give up EU261 seats?","Voluntary denied boarding does not qualify for compensation, but passengers should negotiate benefits before agreeing."
"Can minors traveling alone claim EU261 compensation?","Yes, unaccompanied minors have the same rights, though parents/guardians typically handle the claim process."
"What if airline goes bankrupt after EU261 delay?","Passengers may still claim through national enforcement bodies or insolvency proceedings, though recovery may be limited."
"Does EU261 apply to private jet flights?","EU261 typically applies only to commercial passenger services, not private aviation."
"What if passengers book EU261 flights through travel agents?","Passengers can claim directly from the airline regardless of booking method, though travel agents may assist."
"Can airlines charge fees for processing EU261 claims?","No, airlines cannot charge passengers for processing legitimate EU261 compensation claims."
"What if EU261 delay is due to airport closure?","Airport closures for reasons beyond airline control (security, weather) are typically extraordinary circumstances."
"When is a US passenger eligible for denied boarding compensation?","US passengers are eligible when involuntarily denied boarding and the alternate flight arrives 1-2 hours late (domestic) or 1-4 hours late (international)."
"How much compensation for US involuntary denied boarding?","Airlines must pay 200% of one-way fare (max $775) for 1-2 hour delays, or 400% of one-way fare (max $1,550) for longer delays."
"Are US airlines required to refund baggage fees for lost luggage?","Yes, airlines must refund baggage fees if luggage is lost and not recovered within a reasonable time."
"What is maximum liability for lost baggage under US DOT?","The maximum liability for lost domestic baggage is $3,800 per passenger for domestic flights."
"How long can airlines keep passengers on tarmac?","Airlines must allow deplaning after 3 hours for domestic flights and 4 hours for international flights, with exceptions for safety and security."
"What compensation for US tarmac delays?","No monetary compensation is required for tarmac delays, but airlines must provide food, water, working restrooms, and medical attention."
"When must US airlines provide full refunds for cancellations?","Airlines must provide full refunds when they cancel flights or make significant schedule changes that passengers don't accept."
"What constitutes significant schedule change under US DOT?","DOT doesn't define specific timeframes, but generally considers changes of several hours or different dates as significant."
"Are US airlines required to pay for hotels during delays?","Airlines are not legally required to pay for hotels during delays, but many do so as part of customer service policies."
"What notice must US airlines give for overbooking?","Airlines must ask for volunteers before involuntarily denying boarding and inform passengers of their compensation rights."
"What if US domestic flight delayed 3 hours due to weather?","Weather delays don't trigger compensation requirements, but airlines must still provide customer service according to their policies."
"Can US airlines deny boarding for not having government ID?","Yes, airlines can deny boarding for failure to meet TSA identification requirements without compensation obligations."
"What US compensation for mechanical flight cancellations?","No specific compensation is required for mechanical cancellations, but passengers are entitled to refunds or rebooking."
"How does US DOT handle overweight baggage fees?","DOT requires airlines to disclose baggage fees clearly but doesn't regulate the amounts airlines charge."
"What if US passengers bumped from connecting flight?","If the bumping causes arrival delays meeting DOT thresholds, denied boarding compensation applies to the affected segment."
"Do US airline rules apply to international flights?","DOT rules apply to flights departing from the US. International rules may apply to flights arriving in the US."
"What if US airlines offer vouchers for denied boarding?","Airlines can offer vouchers, but passengers have the right to choose cash compensation instead."
"Can US airlines charge fees during irregular operations?","When airlines cause disruptions, they typically waive change fees as part of customer service, though not legally required."
"What rights for missed US connections due to delays?","Airlines must rebook passengers on the next available flight. No specific compensation is required unless denied boarding occurs."
"How does US DOT handle airline service complaints?","DOT investigates consumer complaints and can fine airlines for violating passenger protection regulations."
"What compensation under Canadian APPR for flight delays?","Under APPR, passengers receive $400 CAD for 3-6 hour delays, $700 CAD for 6-9 hour delays, and $1000 CAD for delays over 9 hours, when within airline control."
"When do Canadian airlines pay for cancellations?","Airlines must provide compensation for cancellations within their control, with amounts ranging from $400-1000 CAD based on delay to alternate transport."
"What are three categories of APPR flight disruptions?","APPR categorizes disruptions as: within airline control, within airline control but required for safety, and outside airline control (extraordinary circumstances)."
"How does APPR handle denied boarding?","Passengers denied boarding receive $900 CAD for delays under 6 hours, $1800 CAD for 6-9 hours, and $2400 CAD for delays over 9 hours."
"What care obligations under APPR during delays?","Airlines must provide food, drink, accommodation, and transport when delays require overnight stays, regardless of the cause."
"How long to file APPR compensation claims?","Passengers have one year from the date of the flight disruption to file compensation claims under APPR."
"What if Canadian flight delayed due to crew scheduling?","Crew scheduling problems are within airline control, making compensation payable under APPR unless related to safety requirements."
"Does APPR apply to foreign airlines departing Canada?","Yes, APPR applies to all flights departing from Canadian airports, regardless of the airline's country of origin."
"What APPR compensation for passenger downgrades?","Passengers receive refunds of the fare difference plus additional compensation ranging from $100-800 CAD based on flight length."
"How does APPR define large versus small airlines?","Large airlines transport over 2 million passengers annually. Small airlines have reduced compensation obligations under APPR."
"What if Canadian flight cancelled due to departure weather?","Weather at departure airports is typically outside airline control, exempting airlines from compensation but not care obligations."
"Can Canadian airlines avoid APPR claiming safety?","Safety-required disruptions are within airline control but required for safety, reducing compensation obligations but not eliminating them."
"What happens if passengers miss Canadian connections?","If both flights are on the same booking and the delay is within airline control, compensation applies based on total delay."
"How does APPR handle air traffic control delays?","ATC delays are outside airline control, exempting compensation but airlines must still provide care and assistance."
"What if Canadian passengers on codeshare flights?","The operating airline is responsible for APPR compliance, regardless of which airline sold the ticket."
"Can passengers choose cash over APPR vouchers?","Yes, passengers have the right to monetary compensation and cannot be forced to accept vouchers."
"What if APPR alternative transportation takes longer?","Passengers can refuse unreasonable alternatives, and compensation is based on the delay to the original schedule."
"How does APPR handle mechanical problems?","Mechanical issues are within airline control, triggering compensation unless they're sudden and unpredictable safety issues."
"What if passengers bumped from overbooked Canadian flights?","Involuntary denied boarding triggers the highest compensation levels under APPR, from $900-2400 CAD."
"Can airlines reduce APPR compensation if passengers contributed?","Airlines cannot reduce compensation unless passengers directly caused the specific disruption through their actions."
"What does Montreal Convention say about baggage compensation?","The Montreal Convention provides compensation up to approximately 1,288 Special Drawing Rights (about $1,700 USD) for lost, damaged, or delayed baggage."
"What is liability limit for lost baggage under Montreal Convention?","The liability limit is approximately 1,288 SDR (Special Drawing Rights), which equals roughly $1,700-1,800 USD depending on exchange rates."
"Is Montreal Convention baggage compensation automatic?","No, passengers must prove damages and expenses caused by baggage delays to receive compensation under the Montreal Convention."
"What Montreal Convention compensation for passenger injury?","The Montreal Convention provides unlimited liability for passenger injury or death, with airlines liable for damages up to approximately 128,821 SDR without proving negligence."
"How does Montreal Convention apply to international flights?","The Montreal Convention applies to international flights between countries that have ratified the treaty, covering most major aviation markets worldwide."
"What must passengers do for Montreal Convention baggage claims?","Passengers must report baggage issues immediately upon discovery and file written complaints within 7 days for damage or 21 days for delay."
"Can airlines limit liability below Montreal Convention amounts?","No, airlines cannot contractually limit liability below Montreal Convention minimums, though they may offer higher coverage voluntarily."
"What if passengers don't declare valuable items in baggage?","Without declaration, compensation is limited to standard Montreal Convention limits regardless of actual item values."
"How does Montreal Convention handle connecting flights?","Each airline segment is evaluated separately, though passengers may have claims against multiple carriers for the same journey."
"What evidence needed for Montreal Convention baggage claims?","Passengers need baggage receipts, proof of contents and values, receipts for replacement items, and documentation of reporting delays."
"What if baggage delayed several weeks under Montreal Convention?","Passengers can claim reasonable expenses for replacement items and inconvenience, up to the liability limits."
"Can passengers get compensation for lost prescription medications?","Yes, replacement medication costs are compensable under Montreal Convention, though passengers should carry essentials in carry-on."
"What if airlines lose baggage with business documents?","Business losses are compensable up to liability limits, though passengers should consider declaring higher values for expensive items."
"How does Montreal Convention handle security screening damage?","Security damage may not be airline liability under Montreal Convention, depending on whether screening is airline or government responsibility."
"What if baggage delayed due to customs inspections?","Customs delays may not be airline liability, though airlines remain responsible for ensuring baggage reaches final destinations."
"Can passengers claim for missed vacation activities?","Passengers can claim reasonable expenses for replacement items, but vacation activity losses may be harder to prove as direct damages."
"What if airlines deliver baggage to wrong addresses?","Misdelivery is airline responsibility under Montreal Convention, with liability for damages and recovery costs."
"How does Montreal Convention apply to other passenger damage?","Airlines remain liable for baggage in their custody regardless of how damage occurs during transport."
"What if passengers pack prohibited items causing delays?","Passenger violations may reduce or eliminate airline liability for delays caused by prohibited item discoveries."
"Can airlines charge for baggage delivery after delays?","Airlines should deliver delayed baggage free of charge as part of their service obligations."
"How long to file Montreal Convention claims?","Passengers typically have two years from the date of arrival (or scheduled arrival) to file court claims under Montreal Convention."
"What if airlines deny Montreal Convention claims?","Passengers can pursue legal action in courts with Montreal Convention jurisdiction, typically in departure, arrival, or airline domicile countries."
"Can passengers assign Montreal Convention claims to others?","Assignment may be possible depending on local laws, though some jurisdictions restrict assignment of personal injury claims."
"What if passengers traveling on employee tickets?","Montreal Convention protections generally apply regardless of ticket type, though specific employment agreements may vary."
"How do courts calculate Montreal Convention damages?","Courts consider actual losses, replacement costs, and reasonable expenses, subject to liability limits and local damage calculation rules."
"What if passengers don't speak local language for claims?","Translation requirements vary by jurisdiction, though airlines operating internationally should provide reasonable assistance."
"Can passengers get legal fees in Montreal Convention cases?","Legal fee recovery depends on local court rules and may be available in successful cases in some jurisdictions."
"What if airlines bankrupt during Montreal Convention claims?","Passengers may need to file claims in bankruptcy proceedings, though insurance may provide some protection."
"How does Montreal Convention interact with travel insurance?","Passengers may be able to claim from both sources, though insurance may seek subrogation from airlines."
"What if passengers in transit through Montreal Convention countries?","Transit stops may establish Montreal Convention jurisdiction even if not the final destination."
"What if baggage lost during aircraft emergencies?","Emergency situations don't eliminate Montreal Convention liability, though they may affect damage calculations."
"How does Montreal Convention apply to codeshare flights?","The operating airline is typically liable under Montreal Convention, regardless of which airline sold the ticket."
"What if passengers declare false baggage values?","False declarations may void higher liability coverage and could result in fraud allegations."
"Can airlines invoke force majeure for Montreal Convention?","Force majeure may affect service obligations but doesn't eliminate liability for baggage in airline custody."
"What if baggage damaged due to improper packing?","Improper packing may reduce airline liability if it contributed to the damage, depending on circumstances."
"How does Montreal Convention handle live animals as baggage?","Live animal transport has special rules, with airlines potentially having reduced liability for inherent risks."
"What if baggage contains illegal items discovered during transport?","Illegal items may void baggage protections and could result in criminal liability for passengers."
"Can airlines limit Montreal Convention through choice of law?","Airlines cannot contract around Montreal Convention minimums, though choice of law may affect additional protections."
"What if baggage lost during airline mergers?","Successor airlines typically inherit Montreal Convention obligations, though specific circumstances may vary."
"How does Montreal Convention apply to charter flights?","Montreal Convention generally applies to charter flights meeting the treaty's definition of international carriage."
"What if passengers on around-the-world tickets?","Multi-segment journeys are evaluated based on each international segment covered by Montreal Convention."
"Can passengers get punitive damages under Montreal Convention?","Montreal Convention focuses on compensatory damages. Punitive damages depend on local law and specific circumstances."
"What if airlines subcontract baggage handling?","Airlines remain liable under Montreal Convention even when using subcontractors for ground services."
"How does Montreal Convention handle weather baggage delays?","Weather may excuse flight delays but doesn't eliminate liability for baggage that airlines fail to transport promptly."
"What if passengers traveling on diplomatic passports?","Diplomatic status may affect legal procedures but doesn't typically change Montreal Convention coverage."
"Can airlines require specific courts for Montreal Convention?","Airlines can suggest jurisdictions but cannot eliminate passengers' rights to sue in Montreal Convention-specified courts."
"What if baggage lost during passenger deportations?","Government-ordered removals may affect airline liability, depending on whether airlines retain custody of baggage."
"How does Montreal Convention apply to overweight baggage?","Montreal Convention covers lost/damaged baggage regardless of fees paid, though fees don't increase liability limits."
"What if passengers traveling with musical instruments?","Musical instruments are covered under standard Montreal Convention rules, though passengers should consider declaring higher values."
"Can airlines reduce liability for inherently fragile items?","Airlines may have reduced liability for items with inherent fragility if properly disclosed and accepted."
"What if baggage damaged during turbulence?","Turbulence damage to baggage in airline custody is typically airline liability under Montreal Convention."
"How does Montreal Convention handle cremated remains?","Cremated remains transport has special considerations, with potentially higher liability for mishandling."
"What if passengers pack electronics damaged during transport?","Electronics are covered under Montreal Convention, though passengers should consider protective packing and declared values."
